Player Name,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4WH,5WH,Team name,Nation,status
Wahab Riaz,2016-2021,67,66,249.5,2,1844,94,17-Apr,19.61,7.38,15.9,1,0,(Peshawar Zalmi),Pakistan,key_bowler
Hasan Ali,2016-2021,55,54,205.0,1,1504,72,15-Apr,20.88,7.33,17.0,3,0,(Peshawar Zalmi),Pakistan,key_bowler
Faheem Ashraf,2018-2021,39,39,132.5,1,1042,55,19-Jun,18.94,7.84,14.4,1,1,(Islamabad United),Pakistan,key_bowler
Shaheen Shah Afridi,2018-2021,37,37,138.3,3,1060,50,5-Apr,21.2,7.65,16.6,1,1,(Lahore Qalandars),Pakistan,key_bowler
Shahnawaz Dahani,2021-2021,11,11,40.2,1,340,20,4-May,17.0,8.42,12.1,2,0,(Multan Sultans),Pakistan,key_bowler
