Player Name,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4WH,5WH,Team name,Nation,status
Mohammad Nawaz,2016-2021,61,61,201.4,1,1447,55,13-Apr,26.3,7.17,22.0,1,0,(Quetta Gladiators),Pakistan,good_bowler
Sohail Tanvir,2016-2021,54,52,188.5,2,1447,53,13-Apr,27.3,7.66,21.3,2,0,(Quetta Gladiators),Pakistan,good_bowler
