Player Name,Span,Mat,Inns,NO,Runs,Highest Score,Ave,Balls Faced,Strike Rate,100s,50s,0s,4s,6s,Team name,Nation,status
Babar Azam,2016-2021,58,56,8,2070,90*,43.12,1703,121.55,0,21,6,219,35,(Karachi Kings),Pakistan,good_performer
Kamran Akmal,2016-2021,69,68,2,1820,107*,27.57,1330,136.84,3,11,8,197,84,(Peshawar Zalmi),Pakistan,good_performer
Shoaib Malik,2016-2021,61,57,11,1481,73,32.19,1156,128.11,0,9,4,103,58,(Peshawar Zalmi),Pakistan,good_performer
